recovery_strategy,fault_type,prompt_length_label,concurrency_level,total_requests,successful_requests,failed_requests,success_rate,p50_latency_s,p95_latency_s,p99_latency_s,mean_latency_s,mean_recovery_time_s,mean_recomputation_fraction,throughput_req_per_s,mean_ttft_s,p95_ttft_s,total_duration_s
retry_from_scratch,delay,medium,1,20,20,0,1.0,0.8458274322155563,1.5739005484828215,1.5829290936220668,1.0096700462330137,0.6360808720888717,0.0,0.9904225679283911,0.2028242616266614,0.7739005484828215,20.193400924660274
retry_from_scratch,delay,medium,4,20,20,0,1.0,1.1354111325038942,1.6510985513032765,1.7093888767216916,1.1993533678211965,0.542088713206101,0.0,0.8337826255284208,0.2830443566030504,0.7292985513032766,23.987067356423932
retry_from_scratch,delay,medium,8,20,20,0,1.0,1.1389061048151887,1.828231101383688,1.8370123240801277,1.3099097384400111,0.5454539811263988,0.0,0.7634113791326895,0.2301815924505594,0.7440311013836881,26.198194768800224
retry_from_scratch,delay,long,1,20,20,0,1.0,0.829494871344451,1.3298731971581677,1.4164924184459278,0.9210397645176915,0.4838419272292978,0.0,1.0857294532439326,0.10876838544585957,0.5298731971581676,18.42079529035383
retry_from_scratch,delay,long,4,20,20,0,1.0,0.9590545619077406,1.645954892603977,1.695537480673329,1.0875871779070538,0.6311055017074743,0.0,0.9194665221030103,0.16977637542686858,0.724154892603977,21.751743558141076
retry_from_scratch,delay,long,8,20,20,0,1.0,1.1725835583642092,1.8355491960704864,1.8476742785179439,1.3286658325590681,0.5590323513314139,0.0,0.7526346922283121,0.23561294053256548,0.7513491960704864,26.57331665118136
retry_from_scratch,hang,short,1,20,20,0,1.0,0.8491199048425668,12.011606106184546,12.37993336283851,3.7761265804604838,5.296586654891934,0.35,0.2648216310229761,0.012000000000000002,0.012,75.52253160920968
retry_from_scratch,hang,short,4,20,20,0,1.0,0.9839503701462918,12.15637624488177,12.818747304357482,4.304099050047614,5.401828276806667,0.4,0.23233666055555124,0.012000000000000002,0.012,86.08198100095228
retry_from_scratch,hang,short,8,20,20,0,1.0,1.1194404523604558,11.612992403301234,11.91673205831901,3.95466429191882,6.103668403525468,0.3,0.2528659643830734,0.012000000000000002,0.012,79.0932858383764
retry_from_scratch,hang,medium,1,20,20,0,1.0,0.8039809347424232,11.70927651607923,12.659669495675404,3.823312978131046,5.3889126392903295,0.35,0.26155326694592324,0.012000000000000002,0.012,76.46625956262092
retry_from_scratch,hang,medium,4,20,20,0,1.0,0.9703734501098129,12.553422412111209,13.117327672280537,3.8432108035461203,5.332401622433897,0.35,0.26019910202799507,0.012000000000000002,0.012,76.86421607092241
retry_from_scratch,hang,medium,8,20,20,0,1.0,1.1442066379207363,11.863490115145197,12.229398976646713,4.8725473907666865,5.533557226859444,0.45,0.2052314569345605,0.012000000000000002,0.012,97.45094781533373
